iter	Passed	Remaining
0	283	56497
1	390	38683
2	541	35540
3	661	32419
4	762	29754
5	875	28309
6	985	27177
7	1098	26365
8	1206	25604
9	1312	24943
10	1418	24365
11	1544	24200
12	1645	23665
13	1757	23351
14	1842	22727
15	1968	22641
16	2082	22422
17	2182	22063
18	2282	21746
19	2392	21528
20	2506	21362
21	2613	21146
22	2711	20869
23	2814	20636
24	2940	20582
25	3044	20372
26	3140	20119
27	3245	19936
28	3362	19825
29	3472	19678
30	3601	19631
31	3700	19426
32	3800	19231
33	3926	19168
34	4036	19030
35	4153	18922
36	4244	18699
37	4357	18577
38	4458	18406
39	4567	18270
40	4669	18108
41	4779	17979
42	4906	17914
43	5011	17767
44	5119	17632
45	5224	17489
46	5348	17411
47	5464	17305
48	5552	17111
49	5654	16963
50	5776	16876
51	5898	16788
52	6002	16648
53	6108	16515
54	6214	16384
55	6330	16279
56	6422	16113
57	6527	15980
58	6624	15832
59	6746	15740
60	6833	15570
61	6930	15425
62	7067	15369
63	7153	15201
64	7258	15074
65	7380	14984
66	7471	14832
67	7570	14695
68	7684	14589
69	7803	14491
70	7913	14378
71	8015	14250
72	8084	14064
73	8184	13935
74	8388	13981
75	8496	13862
76	8591	13723
77	8695	13601
78	8799	13477
79	8914	13372
80	9032	13270
81	9138	13150
82	9234	13017
83	9366	12934
84	9470	12812
85	9581	12700
86	9689	12584
87	9794	12466
88	9902	12350
89	10020	12247
90	10143	12149
91	10243	12025
92	10370	11931
93	10477	11814
94	10588	11703
95	10687	11577
96	10791	11459
97	10904	11349
98	11015	11238
99	11111	11111
100	11217	10995
101	11339	10895
102	11459	10792
103	11582	10691
104	11669	10557
105	11779	10445
106	11942	10379
107	12052	10266
108	12162	10154
109	12280	10048
110	12387	9932
111	12484	9809
112	12580	9685
113	12682	9567
114	12797	9459
115	12919	9355
116	13022	9238
117	13131	9125
118	13241	9013
119	13363	8908
120	13478	8800
121	13573	8678
122	13670	8558
123	13789	8451
124	13902	8341
125	14020	8234
126	14129	8121
127	14232	8005
128	14330	7887
129	14449	7780
130	14564	7671
131	14669	7556
132	14767	7439
133	14866	7322
134	14994	7219
135	15085	7099
136	15184	6982
137	15284	6866
138	15413	6764
139	15510	6647
140	15609	6531
141	15726	6423
142	15831	6310
143	15944	6200
144	16047	6086
145	16154	5975
146	16269	5865
147	16381	5755
148	16477	5639
149	16584	5528
150	16698	5418
151	16807	5307
152	16924	5198
153	17036	5088
154	17142	4976
155	17272	4871
156	17384	4761
157	17502	4652
158	17617	4543
159	17731	4432
160	17855	4325
161	17965	4214
162	18066	4100
163	18180	3990
164	18310	3883
165	18410	3770
166	18518	3659
167	18629	3548
168	18730	3435
169	18839	3324
170	18954	3214
171	19075	3105
172	19177	2993
173	19279	2880
174	19386	2769
175	19493	2658
176	19587	2545
177	19694	2434
178	19800	2323
179	19925	2213
180	20035	2103
181	20140	1991
182	20254	1881
183	20360	1770
184	20470	1659
185	20584	1549
186	20689	1438
187	20794	1327
188	20903	1216
189	21017	1106
190	21109	994
191	21192	883
192	21275	771
193	21369	660
194	21435	549
195	21491	438
196	21536	327
197	21576	217
198	21610	108
199	21641	0
